sample_id,scenario_type,human_has_risk,human_values,claude-sonnet-4-5_has_risk,claude-sonnet-4-5_values,claude-sonnet-4-5_risk_match,claude-sonnet-4-5_value_jaccard,deepseek-chat_has_risk,deepseek-chat_values,deepseek-chat_risk_match,deepseek-chat_value_jaccard,gemini-2.5-flash_has_risk,gemini-2.5-flash_values,gemini-2.5-flash_risk_match,gemini-2.5-flash_value_jaccard,grok-4_has_risk,grok-4_values,grok-4_risk_match,grok-4_value_jaccard,o4-mini_has_risk,o4-mini_values,o4-mini_risk_match,o4-mini_value_jaccard,qwen-plus_has_risk,qwen-plus_values,qwen-plus_risk_match,qwen-plus_value_jaccard
issue_203372525,text,False,,True,HV1; HV6; HV9; SV1,MISMATCH,0.0000,True,HV6; HV7; HV9; SV1,MISMATCH,0.0000,True,HV6; HV9; SV1,MISMATCH,0.0000,True,HV1; HV6; HV9; SV1,MISMATCH,0.0000,True,HV10; HV6; HV9; SV1,MISMATCH,0.0000,True,HV1; HV6; HV9; SV1,MISMATCH,0.0000
issue_203372790,text,False,,True,HV1; HV6; SV8; SV9,MISMATCH,0.0000,True,HV3; SV2; SV8,MISMATCH,0.0000,True,HV1; HV9; SV1; SV8,MISMATCH,0.0000,True,HV9; SV1; SV2; SV8,MISMATCH,0.0000,True,SV2; SV8,MISMATCH,0.0000,True,HV1; SV2; SV8,MISMATCH,0.0000
issue_203500150,text,False,,True,SV2; SV3; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV3; SV8,MISMATCH,0.0000,True,SV2; SV3; SV8,MISMATCH,0.0000,True,HV2; SV3; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV8,MISMATCH,0.0000
issue_203983895,text,True,HV8; SV2,True,HV8; SV2; SV6; SV8,MATCH,0.5000,True,HV8; SV2; SV5; SV6,MATCH,0.5000,True,HV8; SV2; SV6,MATCH,0.6667,True,HV8; SV2; SV6; SV7,MATCH,0.5000,True,HV8; SV2; SV8,MATCH,0.6667,True,HV6; HV8; SV2; SV8,MATCH,0.5000
issue_203985514,text,True,HV3,True,HV10; HV6; HV9; SV2; SV6; SV8,MATCH,0.0000,True,HV10; HV3; HV6; SV2; SV8,MATCH,0.2000,True,HV10; HV2; HV3; HV9; SV1; SV2; SV6; SV8,MATCH,0.1250,True,HV10; HV9; SV2; SV6; SV8,MATCH,0.0000,True,HV10; SV1; SV2; SV8,MATCH,0.0000,True,HV10; HV6; SV2; SV8,MATCH,0.0000
issue_204095592,text,False,,True,HV10; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV10; SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV10; SV4; SV5; SV8,MISMATCH,0.0000,True,HV10; SV2; SV3; SV5; SV8,MISMATCH,0.0000
issue_204357105,text,False,,True,SV1; SV2; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV6; SV8,MISMATCH,0.0000,True,SV1; SV2; SV8,MISMATCH,0.0000,True,SV1; SV2; SV8,MISMATCH,0.0000,True,HV1; SV1; SV2; SV8,MISMATCH,0.0000
issue_204471189,text,False,,True,HV7; SV10; SV2; SV3; SV8,MISMATCH,0.0000,True,HV6; SV2; SV3; SV8,MISMATCH,0.0000,True,SV2; SV3; SV8,MISMATCH,0.0000,True,SV10; SV2; SV3; SV5,MISMATCH,0.0000,True,HV6; HV7; SV3; SV8,MISMATCH,0.0000,True,HV1; SV2; SV3; SV8,MISMATCH,0.0000
issue_204473808,text,False,,True,SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV3; SV5; SV8,MISMATCH,0.0000,True,HV1; SV3; SV5; SV8,MISMATCH,0.0000
issue_205237429,text,True,SV8,True,SV2; SV6; SV8,MATCH,0.3333,True,HV2; HV5; SV2; SV8,MATCH,0.2500,True,HV2; SV6; SV8,MATCH,0.3333,True,HV2; SV2; SV6; SV8,MATCH,0.2500,True,SV2; SV8,MATCH,0.5000,True,HV1; SV1; SV2; SV8,MATCH,0.2500
issue_205390762,text,True,SV6,True,HV9; SV2; SV6; SV8,MATCH,0.2500,True,HV6; HV9; SV6; SV8,MATCH,0.2500,True,HV6; HV9; SV6; SV8,MATCH,0.2500,True,HV9; SV2; SV6; SV8,MATCH,0.2500,True,HV6; HV9; SV2; SV6; SV8,MATCH,0.2000,True,HV6; HV9; SV8,MATCH,0.0000
issue_205417396,text,False,,True,HV10; HV6; SV2; SV5; SV8,MISMATCH,0.0000,True,HV6; HV8; SV2; SV5; SV8,MISMATCH,0.0000,True,HV1; HV10; HV6; HV7; SV1; SV2; SV3; SV8,MISMATCH,0.0000,True,HV6; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV6; HV7; SV4; SV8,MISMATCH,0.0000,True,HV1; HV6; SV2; SV3; SV8,MISMATCH,0.0000
issue_205458049,text,False,,True,SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5; SV6,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV4; SV5,MISMATCH,0.0000,True,SV2; SV3; SV4; SV5; SV8,MISMATCH,0.0000,True,HV1; SV2; SV3; SV5,MISMATCH,0.0000
issue_205664583,text,True,SV8,True,HV2; SV2; SV6; SV8,MATCH,0.2500,True,HV1; HV2; SV2; SV5; SV8,MATCH,0.2000,True,HV1; HV2; HV3; HV4; SV2; SV8,MATCH,0.1667,True,HV2; HV4; SV2; SV8,MATCH,0.2500,True,HV2; HV4; SV2; SV3; SV8,MATCH,0.2000,True,HV1; HV4; SV2; SV8,MATCH,0.2500
issue_206031063,text,False,,True,HV6; HV7; HV9; SV8,MISMATCH,0.0000,True,HV6; HV9; SV8,MISMATCH,0.0000,True,HV2; HV6; SV8,MISMATCH,0.0000,True,HV6; HV7; HV9; SV8,MISMATCH,0.0000,True,HV6; HV9; SV8,MISMATCH,0.0000,True,HV6; HV7; SV8,MISMATCH,0.0000
issue_206034121,text,True,SV8,True,HV4; SV3; SV8; SV9,MATCH,0.2500,True,HV2; HV4; SV3; SV8,MATCH,0.2500,True,HV2; SV3; SV8,MATCH,0.3333,True,HV4; SV3; SV8,MATCH,0.3333,True,SV3; SV8,MATCH,0.5000,True,HV4; SV3; SV8; SV9,MATCH,0.2500
issue_206096690,text,False,,True,SV1; SV2; SV5,MISMATCH,0.0000,False,,MATCH,1.0000,True,SV1; SV2; SV5,MISMATCH,0.0000,True,HV1; SV2; SV5,MISMATCH,0.0000,True,SV2; SV5,MISMATCH,0.0000,False,,MATCH,1.0000
issue_206193253,text,False,,True,HV1; SV2; SV6; SV8,MISMATCH,0.0000,True,HV1; SV2; SV8,MISMATCH,0.0000,True,HV1; SV6; SV8,MISMATCH,0.0000,True,HV1; SV2; SV6,MISMATCH,0.0000,True,HV1; SV2; SV6; SV8,MISMATCH,0.0000,False,,MATCH,1.0000
issue_206466885,text,True,HV10,True,HV10; SV2; SV3; SV5; SV8,MATCH,0.2000,True,HV1; HV10; SV2; SV5; SV8,MATCH,0.2000,True,HV10; SV1; SV2; SV3; SV5; SV8,MATCH,0.1667,True,HV10; SV2; SV3; SV5; SV8,MATCH,0.2000,True,HV10; SV1; SV2; SV3; SV5; SV8,MATCH,0.1667,True,HV1; HV10; SV2; SV8,MATCH,0.2500
issue_206583691,text,False,,True,HV1; SV10; SV2; SV3,MISMATCH,0.0000,True,HV1; SV10; SV3; SV5,MISMATCH,0.0000,True,HV1; HV10; SV10; SV2; SV3; SV5,MISMATCH,0.0000,True,HV1; SV10; SV3; SV5,MISMATCH,0.0000,True,SV10; SV3,MISMATCH,0.0000,False,,MATCH,1.0000
issue_207742051,text,False,,True,SV3; SV5; SV6,MISMATCH,0.0000,True,HV4; SV3; SV5; SV6,MISMATCH,0.0000,True,HV6; SV3; SV5; SV6,MISMATCH,0.0000,True,HV4; HV8; SV3,MISMATCH,0.0000,True,HV4; HV6; SV3,MISMATCH,0.0000,True,SV3; SV5; SV6,MISMATCH,0.0000
issue_208251280,text,False,,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000
issue_208398234,text,False,,True,HV1; HV10; HV9; SV1,MISMATCH,0.0000,True,HV10; HV9; SV1,MISMATCH,0.0000,True,HV1; HV10; HV9; SV1,MISMATCH,0.0000,True,HV10; SV1,MISMATCH,0.0000,True,HV10; HV9; SV1,MISMATCH,0.0000,True,HV10; HV7; HV9; SV1,MISMATCH,0.0000
issue_208663048,text,False,,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; HV9; SV2; SV3; SV5,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV10; HV9; SV1; SV3; SV5,MISMATCH,0.0000
issue_209162888,text,False,,True,SV2; SV3; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV5,MISMATCH,0.0000,True,SV2; SV3; SV5,MISMATCH,0.0000,True,HV1; SV2; SV3; SV5,MISMATCH,0.0000
issue_209223697,text,False,,True,HV6; HV9; SV2,MISMATCH,0.0000,True,HV6; HV9; SV2; SV5,MISMATCH,0.0000,True,HV6; HV9; SV1; SV2,MISMATCH,0.0000,True,HV6; HV9; SV2,MISMATCH,0.0000,True,HV9; SV2,MISMATCH,0.0000,True,HV7; HV9; SV1; SV2,MISMATCH,0.0000
issue_209883201,text,False,,True,HV6; HV9; SV6; SV8,MISMATCH,0.0000,True,HV6; HV9; SV2; SV8,MISMATCH,0.0000,True,HV6; HV9; SV1,MISMATCH,0.0000,True,HV6; HV9; SV3; SV8,MISMATCH,0.0000,True,HV10; HV6; HV9,MISMATCH,0.0000,True,HV6; HV9; SV1,MISMATCH,0.0000
issue_209985297,text,False,,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV6; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV1; SV1; SV2; SV5; SV8,MISMATCH,0.0000
issue_210401893,text,False,,True,HV10; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV10; HV4; HV6; SV3; SV5; SV8,MISMATCH,0.0000,True,HV6; SV1; SV3; SV5; SV8,MISMATCH,0.0000,True,HV10; HV6; SV10; SV3; SV5,MISMATCH,0.0000,True,HV6; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV1; HV4; SV10; SV3; SV5,MISMATCH,0.0000
issue_210633476,text,True,SV6,True,SV10; SV2; SV5; SV6,MATCH,0.2500,True,HV9; SV2; SV5; SV6,MATCH,0.2500,True,HV6; SV2; SV5; SV6,MATCH,0.2500,True,HV9; SV2; SV6; SV7,MATCH,0.2500,True,HV7; SV10; SV2; SV5; SV6,MATCH,0.2000,True,HV9; SV2; SV5; SV6,MATCH,0.2500
issue_211220372,text,False,,True,SV2; SV6; SV8,MISMATCH,0.0000,True,HV1; SV2; SV6; SV8,MISMATCH,0.0000,True,HV4; SV2; SV6,MISMATCH,0.0000,True,HV4; SV5; SV6; SV8,MISMATCH,0.0000,True,HV4; SV5; SV6,MISMATCH,0.0000,True,HV1; SV2; SV4; SV8,MISMATCH,0.0000
issue_211467228,text,False,,True,HV4; SV6; SV8,MISMATCH,0.0000,True,HV1; HV4; HV9; SV8,MISMATCH,0.0000,True,HV4; HV9; SV1; SV2; SV8,MISMATCH,0.0000,True,HV4; SV2; SV8,MISMATCH,0.0000,True,HV4; SV2; SV8,MISMATCH,0.0000,True,HV4; HV9; SV1; SV8,MISMATCH,0.0000
issue_211857576,text,False,,True,SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV6,MISMATCH,0.0000,True,SV1; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV1; SV2; SV5; SV8,MISMATCH,0.0000
issue_211879983,text,True,HV1,True,HV1; SV3; SV5; SV6,MATCH,0.2500,True,HV1; SV2; SV5; SV6,MATCH,0.2500,True,HV1; SV2; SV3; SV5; SV6,MATCH,0.2000,True,HV1; SV3; SV5; SV6,MATCH,0.2500,True,HV1; SV3; SV6,MATCH,0.3333,True,HV1; SV2; SV3; SV6,MATCH,0.2500
issue_212377506,text,False,,True,HV2; SV2; SV8,MISMATCH,0.0000,True,HV2; SV3; SV6; SV8,MISMATCH,0.0000,True,HV2; SV8,MISMATCH,0.0000,True,HV2; SV8,MISMATCH,0.0000,True,HV2; SV8,MISMATCH,0.0000,True,HV2; SV1; SV8,MISMATCH,0.0000
issue_212461634,text,True,HV10,True,HV1; HV10; SV1; SV2; SV8,MATCH,0.2000,True,HV1; HV9; SV10; SV2; SV8,MATCH,0.0000,True,HV1; HV10; SV2; SV5; SV6; SV8,MATCH,0.1667,True,HV1; HV10; SV1; SV2; SV5; SV8,MATCH,0.1667,True,HV1; HV10; HV6; SV2; SV3; SV8,MATCH,0.1667,True,HV1; HV6; SV1; SV2; SV8,MATCH,0.0000
issue_212776239,text,False,,True,HV4; SV2; SV3,MISMATCH,0.0000,True,HV1; HV4; SV2; SV8,MISMATCH,0.0000,True,HV1; HV4; SV2; SV8,MISMATCH,0.0000,True,HV4; SV2; SV3,MISMATCH,0.0000,True,HV4; SV2; SV3,MISMATCH,0.0000,True,HV4; SV2; SV3,MISMATCH,0.0000
issue_212837021,text,False,,True,HV2; SV2; SV8,MISMATCH,0.0000,False,,MATCH,1.0000,True,HV1; HV2; SV8,MISMATCH,0.0000,False,,MATCH,1.0000,True,HV1; HV2; SV8,MISMATCH,0.0000,False,,MATCH,1.0000
issue_212975694,text,False,,True,HV6; HV7; HV9; SV1,MISMATCH,0.0000,True,HV7; HV9; SV2; SV5,MISMATCH,0.0000,True,HV7; HV9; SV1; SV6,MISMATCH,0.0000,True,HV7; HV9; SV1; SV7,MISMATCH,0.0000,True,HV6; HV7; HV9,MISMATCH,0.0000,True,HV7; HV9; SV1,MISMATCH,0.0000
issue_213109957,text,False,,True,HV2; SV2; SV6; SV8,MISMATCH,0.0000,True,HV3; HV6; SV2; SV6; SV8,MISMATCH,0.0000,True,HV3; HV6; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV6; SV8,MISMATCH,0.0000,True,HV6; SV2; SV6; SV8,MISMATCH,0.0000,True,HV6; SV2; SV6; SV8,MISMATCH,0.0000
issue_213191923,text,True,SV9,True,HV1; HV6; SV8; SV9,MATCH,0.2500,True,HV1; HV6; SV8; SV9,MATCH,0.2500,True,HV1; HV6; SV8; SV9,MATCH,0.2500,True,HV1; HV6; SV8; SV9,MATCH,0.2500,True,HV1; HV6; SV8; SV9,MATCH,0.2500,True,HV1; SV8; SV9,MATCH,0.3333
issue_213601404,text,False,,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5,MISMATCH,0.0000,True,SV1; SV2; SV8,MISMATCH,0.0000
issue_214424043,text,True,HV4; HV6; HV9,True,HV1; HV6; HV7; HV9; SV1,MATCH,0.3333,True,HV6; HV9; SV1; SV2,MATCH,0.4000,True,HV1; HV6; HV8; HV9; SV1; SV2; SV8,MATCH,0.2500,True,HV6; HV9; SV1; SV2,MATCH,0.4000,True,HV6; HV7; HV9; SV1; SV2,MATCH,0.3333,True,HV1; HV6; HV9; SV1,MATCH,0.4000
issue_214528413,text,False,,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV5; HV9; SV3; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,SV1; SV2; SV3; SV5,MISMATCH,0.0000,True,SV3; SV5; SV8,MISMATCH,0.0000,True,HV7; SV1; SV3; SV5,MISMATCH,0.0000
issue_214718000,text,False,,True,SV2; SV3; SV8,MISMATCH,0.0000,True,HV1; SV2; SV3; SV8,MISMATCH,0.0000,True,SV1; SV2; SV3; SV5,MISMATCH,0.0000,True,SV2; SV3; SV5,MISMATCH,0.0000,True,SV2; SV3,MISMATCH,0.0000,True,HV4; SV2; SV3; SV5,MISMATCH,0.0000
issue_215079799,text,False,,True,SV3; SV8; SV9,MISMATCH,0.0000,True,HV2; HV4; SV3; SV8,MISMATCH,0.0000,True,HV2; SV3; SV8,MISMATCH,0.0000,True,HV4; SV3; SV8; SV9,MISMATCH,0.0000,True,HV4; SV3; SV8,MISMATCH,0.0000,True,HV4; SV3; SV8; SV9,MISMATCH,0.0000
issue_215530408,text,True,HV4; SV8,True,HV4; SV2; SV8; SV9,MATCH,0.5000,True,HV4; SV2; SV3; SV8,MATCH,0.5000,True,HV1; HV4; SV2; SV8,MATCH,0.5000,True,HV4; SV2; SV8; SV9,MATCH,0.5000,True,HV4; SV2; SV8; SV9,MATCH,0.5000,True,HV1; HV4; SV8; SV9,MATCH,0.5000
issue_215905813,text,False,,True,HV10; HV9; SV2; SV3; SV8,MISMATCH,0.0000,True,HV10; HV6; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV10; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV10; HV9; SV2; SV3; SV5,MISMATCH,0.0000
issue_216110928,text,False,,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV3; SV5; SV8,MISMATCH,0.0000,True,HV10; SV2; SV3; SV5,MISMATCH,0.0000
issue_216121758,text,False,,True,SV2; SV6; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV8,MISMATCH,0.0000,True,HV1; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV2; SV5; SV8,MISMATCH,0.0000,True,SV2; SV5; SV8,MISMATCH,0.0000
issue_216178067,text,False,,True,SV2; SV6; SV8,MISMATCH,0.0000,True,HV6; HV9; SV2; SV6; SV8,MISMATCH,0.0000,True,SV6; SV8,MISMATCH,0.0000,True,HV6; SV6; SV8,MISMATCH,0.0000,True,HV10; HV9,MISMATCH,0.0000,True,HV6; SV2; SV6; SV8,MISMATCH,0.0000
issue_216195514,text,False,,True,HV6; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV6; SV2; SV5; SV8,MISMATCH,0.0000,True,HV6; SV2; SV5; SV8,MISMATCH,0.0000
issue_21636617,text,True,SV8,True,SV2; SV6; SV8; SV9,MATCH,0.2500,True,HV4; HV6; SV2; SV8,MATCH,0.2500,True,HV3; HV4; HV6; SV5; SV8; SV9,MATCH,0.1667,True,HV4; SV5; SV8; SV9,MATCH,0.2500,True,HV4; SV5; SV7; SV8; SV9,MATCH,0.2000,True,HV4; SV5; SV8; SV9,MATCH,0.2500
issue_216391207,text,True,HV9,True,HV6; HV9; SV2; SV3,MATCH,0.2500,True,HV6; HV9; SV2; SV8,MATCH,0.2500,True,HV6; HV9; SV1,MATCH,0.3333,True,HV6; HV9; SV2; SV8,MATCH,0.2500,True,HV6; HV9; SV3; SV8,MATCH,0.2500,True,HV9; SV1; SV8,MATCH,0.3333
issue_216620405,text,False,,True,SV1; SV6; SV8,MISMATCH,0.0000,True,HV1; SV2; SV8,MISMATCH,0.0000,True,SV6; SV8,MISMATCH,0.0000,True,SV1; SV2; SV8; SV9,MISMATCH,0.0000,True,SV6; SV8,MISMATCH,0.0000,True,SV1; SV10; SV8,MISMATCH,0.0000
issue_217516387,text,False,,True,SV2; SV4; SV5; SV6; SV8,MISMATCH,0.0000,True,SV2; SV3; SV4; SV5; SV8,MISMATCH,0.0000,True,SV2; SV3; SV5; SV6; SV8,MISMATCH,0.0000,True,SV2; SV3; SV4; SV5; SV8,MISMATCH,0.0000,True,HV6; SV3; SV4; SV5; SV8,MISMATCH,0.0000,True,HV4; SV3; SV5; SV8,MISMATCH,0.0000
issue_217881085,text,False,,True,HV6; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV5,MISMATCH,0.0000,True,SV2; SV3; SV8,MISMATCH,0.0000,True,HV6; SV2; SV3; SV5,MISMATCH,0.0000
issue_218050939,text,False,,True,HV1; HV10; HV9; SV2,MISMATCH,0.0000,True,HV1; HV9; SV1; SV5,MISMATCH,0.0000,True,HV1; HV9; SV1,MISMATCH,0.0000,True,HV1; HV9; SV4,MISMATCH,0.0000,True,HV9; SV1,MISMATCH,0.0000,True,HV1; HV9; SV1; SV5,MISMATCH,0.0000
issue_218106618,text,False,,True,HV2; SV2; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV1; SV1; SV2; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,SV5; SV6; SV8,MISMATCH,0.0000,True,HV6; SV2; SV5; SV8,MISMATCH,0.0000
issue_218325894,text,True,SV8,True,HV1; HV10; SV1; SV2; SV8,MATCH,0.2000,True,HV1; HV10; SV1; SV2; SV8,MATCH,0.2000,True,HV10; SV1; SV2; SV8,MATCH,0.2500,True,HV10; HV9; SV1; SV2; SV8,MATCH,0.2000,True,HV10; SV1; SV2; SV8,MATCH,0.2500,True,HV10; SV1; SV2; SV8,MATCH,0.2500
issue_218591048,text,False,,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; HV5; SV2; SV3; SV5,MISMATCH,0.0000,True,HV2; HV5; SV5; SV8,MISMATCH,0.0000,True,HV10; HV2; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV10; HV9; SV2; SV3; SV5,MISMATCH,0.0000
issue_218707574,text,False,,True,HV9; SV1; SV2; SV5,MISMATCH,0.0000,True,HV9; SV1; SV2; SV4; SV5,MISMATCH,0.0000,True,HV3; SV1; SV2; SV5,MISMATCH,0.0000,True,HV9; SV1; SV2; SV5,MISMATCH,0.0000,True,SV1; SV2; SV5,MISMATCH,0.0000,True,HV3; HV9; SV10; SV2; SV5,MISMATCH,0.0000
issue_218744814,text,False,,True,HV6; HV9; SV6; SV8,MISMATCH,0.0000,True,HV6; HV9; SV6; SV8,MISMATCH,0.0000,True,HV9; SV6; SV8,MISMATCH,0.0000,True,HV6; HV9; SV6; SV8,MISMATCH,0.0000,True,HV6; HV9; SV6; SV8,MISMATCH,0.0000,True,HV9; SV6; SV8,MISMATCH,0.0000
issue_219285980,text,False,,True,HV10; SV1; SV2; SV3; SV8,MISMATCH,0.0000,True,HV10; SV1; SV2; SV3; SV5,MISMATCH,0.0000,True,HV10; HV9; SV1; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV10; SV1; SV2; SV3; SV5; SV8; SV9,MISMATCH,0.0000,True,HV10; SV1; SV3; SV5; SV8,MISMATCH,0.0000,True,HV10; SV1; SV3; SV5,MISMATCH,0.0000
issue_219973085,text,False,,True,SV1; SV2; SV8,MISMATCH,0.0000,True,SV1; SV2; SV8,MISMATCH,0.0000,True,SV1; SV2; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV8,MISMATCH,0.0000,True,SV1; SV2; SV8,MISMATCH,0.0000,True,SV1; SV2; SV8,MISMATCH,0.0000
issue_220688117,text,True,SV6,True,HV7; SV2; SV6; SV7,MATCH,0.2500,True,HV2; HV8; SV5; SV6; SV7,MATCH,0.2000,True,HV6; SV2; SV6; SV7; SV8,MATCH,0.2000,True,HV6; HV7; SV2; SV7,MATCH,0.0000,True,HV7; SV6; SV7,MATCH,0.3333,True,HV7; SV5; SV6; SV7,MATCH,0.2500
issue_220743539,text,True,HV9,True,HV3; HV6; HV9; SV1; SV2,MATCH,0.2000,True,HV3; HV9; SV1; SV2,MATCH,0.2500,True,HV3; HV9; SV1; SV2,MATCH,0.2500,True,HV9; SV1; SV2,MATCH,0.3333,True,HV3; HV9; SV1; SV2,MATCH,0.2500,True,HV3; HV9; SV1,MATCH,0.3333
issue_220971928,text,False,,True,HV2; SV3; SV6; SV8,MISMATCH,0.0000,True,SV2; SV6; SV8,MISMATCH,0.0000,True,HV2; SV6; SV8,MISMATCH,0.0000,True,HV2; SV3; SV6; SV8,MISMATCH,0.0000,True,HV6; SV3; SV6; SV8,MISMATCH,0.0000,True,HV6; SV3; SV6; SV8,MISMATCH,0.0000
issue_221506045,text,True,HV1,True,HV1; HV10; HV9; SV1; SV2; SV8,MATCH,0.1667,True,HV1; HV10; SV1; SV2; SV8,MATCH,0.2000,True,HV1; HV10; HV9; SV1; SV2; SV8,MATCH,0.1667,True,HV10; SV1; SV2; SV8,MATCH,0.0000,True,HV1; HV10; SV1; SV2; SV8; SV9,MATCH,0.1667,True,HV1; HV10; SV1; SV2; SV8,MATCH,0.2000
issue_222102098,text,True,HV4,True,HV4; SV2; SV8,MATCH,0.3333,True,HV4; SV2; SV8,MATCH,0.3333,True,HV2; HV4; SV2; SV6; SV8,MATCH,0.2000,True,HV4; SV2; SV8,MATCH,0.3333,True,HV4; SV2; SV8,MATCH,0.3333,True,HV4; SV2; SV8,MATCH,0.3333
issue_223408951,text,True,HV1; SV8,True,HV2; HV6; HV9; SV1; SV8,MATCH,0.1667,True,HV1; HV6; HV9; SV2; SV8,MATCH,0.4000,True,HV1; HV10; HV6; HV9; SV1; SV8,MATCH,0.3333,True,HV6; HV9; SV2; SV8,MATCH,0.2000,True,HV10; HV6; HV9; SV1; SV8,MATCH,0.1667,True,HV6; HV9; SV1; SV8,MATCH,0.2000
issue_223576607,text,True,HV9; SV8,True,HV10; HV9; SV1; SV2; SV8,MATCH,0.4000,True,HV10; HV9; SV2; SV6; SV8,MATCH,0.4000,True,HV9; SV1; SV2; SV8,MATCH,0.5000,True,HV10; HV9; SV1; SV2; SV8,MATCH,0.4000,True,HV10; HV9; SV1; SV2; SV6; SV8,MATCH,0.3333,True,HV10; HV9; SV2; SV8,MATCH,0.5000
